date,score,content
2025년 10월 30일,5,실시간채팅상담과 고객센터 전화는 연결도안되는데 왜 있는지 의문입니다. 실시간채팅은 타어플과 다르게 상담사 연결도 안되고 전화는 매번 받는데 최소 6분이상입니다. 배민클럽이라고해서 우대받는것 또한 뭔지 모르겠네요 고객을위한 서비스와 질 향상이 되려면 고객센터 운영에 대해 많은 개선이 필요해 보이네요 배달 배차도 잘안되서 점심시간 지나서야 받고 몇입 못먹고 버려야하는 상황이 오니 기분이 썩 좋진 않네요 배민클럽은 아무래도 해지해야겠어요 ㅠ
2025년 3월 9일,5,"음식배달 탭 대신 가게배달 탭을 쓰던 이유가 리뷰 볼 수 있고(가게의 위생, 맛, 양 등) 리뷰이벤트도 어느정도 참여할 수 있어서였는데 업데이트하고나선 두개의 차이점을 모를 정도로 불편해졌어요 리뷰탭도 겨우 찾았고 가게 공지라도 봐야 휴무, 재료수급을 알 수 있는데 그것도 보기 너무 불편해요 번거롭고 솔직히 처음엔 아예 없애버린 줄 알았습니다.. 옛날 구성이 더 좋았어요"
2024년 12월 8일,5,찜목록 편집기능좀 넣어주세요 코로나기간에 찝한 200개 하나하나 들어가서 해제해야해서 30분째 지우는데 80개 겨우 지웠네요. 그중 3분의 1은 폐업하거나 배민에서 나간 업체인거 같은데 이런건 자동으로 지워줬으면하네요. 그리고 보통 집 직장등 장소가 여러개인경우가 있는데 찜 목록에서는 필터링 기능하나없이 그냥 통째로 있어서 뒤죽박죽 보기 힘들어요. 제2의 올영앱같은 느낌...너무 불편해요.
2025년 5월 30일,5,"장바구니를 확인하려고 하는데 로딩만 하다가 '화면을 불러오지 못했어요' 라는 메세지만 자꾸 뜨네요. 이것 때문에 주문을 못하고 있습니다. 데이터와 캐시를 삭제해봐도, 핸드폰을 다시 시작해봐도, 앱을 지웠다가 다시 깔아봐도 똑같네요. 앱이나 운영 쪽 문제라면 빠르게 픽스 좀 해주세요."
2025년 11월 27일,5,"기능 제안 드려요🍀다른사람 리뷰볼때 메뉴가 ""옵션으로 정한 세부메뉴""까지 보이게 해주세요(예를들어 지금은 ㅡ고기세트로 나와있는데,ㅌ삼겹살+목살 세트"" 이렇게 나오면 사진이랑 리뷰내용이 고기세트 중에 어느메뉴인지 알수있어서(지금은 몰라서 불편해요ㅠ)ㅡ그럼 참고가 더 잘돼서,주문율 올라갈것같아요ㅎㅎ😺그리고,장바구니담은 메뉴ㅡ사진 누르면 사진 확대돼서 잘보이게 해주세요.지금은 클릭이 안되네요.사진 작아서 크게 보고,최종 결정 후 주문하고싶어요ㅡ"
2025년 12월 5일,5,"기종은 갤럭시 s25 울트라이며, 멤버십도 돈 주고 사용하는중입니다. 업데이트 이후로, 위치가 지정할 수 없다며 안됩니다. 재설치를 했더니 위치 설정 전까지는 아무런 동작도 불가하네요. 멤버십 취소조차 할 수도 없는데 빠른 조치해주세요. (추가) 고객센터도 전화를 안 받는데 멤버십 취소방법 안내해주세요."
2025년 12월 5일,5,오늘 배달시켰는데 서버터지고 겨우 복구되나 했더니 시킨채로 1시간 넘게 기다렸어요. 그러고도 못 받아서 결국 라면 끓어먹음...ㅋㅋ 서버를 복구할거면 제대로 하던가. 복구했으면 운영이라도 제대로 쳐하던가. 그것도 못하겠으면 배달 몇분까지 온다고 써놓고 계속 5분씩 미루는 양아치 짓거리라도 하지 말던가. 이게 소비자 기만하는 거지 대체 뭐 하자는거임? 기분이 너무 더럽네요. 배민 남은 교환권 쓴 뒤엔 앞으론 지우고 쳐다도 안 볼듯.
2025년 12월 7일,5,"배달로 주문하면 픽업으로 자동 변경, 가게로 문의, 상담사에게 문의 하면 할 수 없어요 못해요 이럼 돈은 날리고 시간도 날리고 상담사가 무슨 말하는지도 잘 안들리고 주변은 시끄럽고 이런 경우는 처음이네요. 많이 시키고 자주 사용했는데 완전 실망입니다."
2025년 12월 5일,5,"시켜먹으려 하니 강제종료에 재접속하면 와이파이,데이터 연결 안됐다고 무한로딩은 계속되고 사람 열받게 만드는 배달료와 중간마진뜯기는 여전하며 이제 쿠O한테 밀리는데도 아직 사태의 심각성 모르는걸보니 개선사항도 없이 매크로 답변달고 보상도 없는데 그냥 망하는게 이젠 맞을것 같네요"
2025년 12월 4일,5,"음식 조리완료 한시간가까이 지날때까지 배차가 안되면 취소라도 시켜할 수 있게 시스템이 되어야하는게 기본아닌가요. 뜨겁게 먹으려고 음식시켰는데 차갑게 오면 왜 비싼 돈 주면서 이용해야하는거죠? 7시반 넘어서 주문했으니 피크시간도 아닌데 상담조차 막아놓으면 소비자랑 가게는 그냥 구경하라는 건가요? 비싼 수수료 받고 있는데, 이렇게 하는게 맞다고 생각하는건지 회사방침이 궁금하네요. 계속 배민클럽까지 가입하고 잘쓰고 있었는데 최근 몇달간 이러네요. 앞으로 개선의지가 없다면 이용 할 가치가 없을거같네요"
