app,date,score,content
Coupang Eats,2025-12-13 01:43:27,5,잘 사용하고 있어요
Coupang Eats,2025-12-12 21:26:27,2,개인정보유출만 아니더라도 좋았을텐데요.
Coupang Eats,2025-12-12 20:49:25,1,함께주문 기능을 다시 살려주세요. 당초 기능의 취지가 배달료 절약이었을지 몰라도.. 이 기능은 메뉴를 각자 담을 수 있다는 장점도 굉장히 큽니다. 일일이 메뉴 접수받는거 너무 힘들고여.. 배민도 경우에 따라 다르지만 무료배달인 가게도 함께주문이 되잖아요? 이제 배민은 거의 안쓰지만 법카쓰는 경우엔 앞에서 말한 편의성때문에 쓰기도 합니다. 이 기능이 다시 도입되면 쿠팡에 완전 정착할거 같아요.
Coupang Eats,2025-12-12 20:04:57,1,프로모션할때 꼭 시간얼마안남으면 일부러 안주는지 관할지역 콜은 매우많다고 뜨는데 에휴
Coupang Eats,2025-12-12 11:55:05,1,예정시간 계속 뒤로 미루면서 예정시간보다 일찍 도착했어요! 이럼
Coupang Eats,2025-12-12 11:27:02,5,와우회원은 무료로 좋아요
Coupang Eats,2025-12-12 05:40:40,5,저렴한 가격에 품질좋은 음식구매
Coupang Eats,2025-12-12 01:15:39,5,쿠팡이츠는 고객들에게는 최고 👍
Coupang Eats,2025-12-11 23:53:32,5,배민보다 좋은듯해요
Coupang Eats,2025-12-11 18:50:30,5,어플 디자인도 깔끔하고 사용하기도 편안하고 좋습니다.
Coupang Eats,2025-12-11 18:13:06,5,정말로 좋습니다 ~~ 고맙습니다 ^^
Coupang Eats,2025-12-11 18:12:47,1,배달비용이 무료인건 좋지만 현재 거주지까진 배달불가 지역이라 전혀 쓸모가 없네요
Coupang Eats,2025-12-11 17:44:12,5,좋습니다 배달 현황을 볼수 있고 제일 빠르고 정확합니다
Coupang Eats,2025-12-11 16:09:25,1,개인정보 털려놓고 쿠페이만 결제수단 하는게 꼬와서 1점
Coupang Eats,2025-12-11 13:18:26,5,쿠팡사태로 삭제했다가 배달만 다시돌이왔네요 .
Coupang Eats,2025-12-11 02:39:44,5,쉽게 주문할수가 있어요~
Coupang Eats,2025-12-10 23:33:14,3,업데이트가 너무 잦아요27
Coupang Eats,2025-12-10 22:03:01,5,편하고 좋아요^*^
Coupang Eats,2025-12-10 18:30:37,4,업주들이 준비중으로만 해놓는경우가 있습니다. 배민에서는 정상영업으로 해놨더라구요
Coupang Eats,2025-12-10 18:12:39,1,"와우 회원 무료 배달? 교촌 26000원, 요기요 에서는 배달비 제외 22000원 배달비 포함 25000원 ㅋㅋㅋㅋ 내 인생에서 영원히 꺼져라 계속 개인정보나 유출하고"
Coupang Eats,2025-12-10 18:06:07,4,별탈 없이..배달비 없이 잘 쓰고있습니다~~
Coupang Eats,2025-12-10 17:02:52,3,"혜택은 참 좋고 타앱과는 비교가 안되는데.. 개인적으로 인터페이스가 너무 구려요 느리기도 하고.. 배민,요기요에 비하면 한 10년전에 만든 앱같음"
Coupang Eats,2025-12-10 13:40:35,1,휴대폰 결제는 안되네요ㅠㅠ
Coupang Eats,2025-12-10 13:31:06,1,개인정보유출때문에 1개
